composition,Tc_sim,Tc_exp,contains_rare_earth,use_for_emb
Ba0.1Sr0.1Ca0.1La0.7Mn1O3,315.0,323.0,True,True
Ba0.1Sr0.1Pr0.75Ti0.04Mn0.96Bi0.05O3,275.0,,True,True
Ba0.1Sr0.2La0.65Nd0.05Mn1O3,,335.0,True,True
Ba0.1Sr0.2Pr0.7Mn1O3,232.7,,True,True
Ba0.1Sr0.4La0.5Mn1O3,,305.0,True,True
Ba0.1Sr1.85Gd0.05Fe1Mo1O6,,357.0,True,True
Ba0.21La0.7Co1Pb0.09O3,,200.0,True,True
Ba0.22Sr0.11La0.67Mn0.7Fe0.3O3,,80.0,True,True
Ba0.22Sr0.11La0.67Mn0.8Fe0.2O3,,130.0,True,True
Ba0.22Sr0.11La0.67Mn0.9Fe0.1O3,230.0,190.0,True,True
Ba0.22Sr0.11La0.67Mn1O3,323.5,344.5,True,True
Ba0.22Sr0.11La0.67Ti0.1Mn0.9O3,,267.0,True,True
Ba0.22Sr0.11Pr0.67Mn0.85Fe0.15O3,,56.0,True,True
Ba0.22Sr0.11Pr0.67Mn0.95Fe0.05O3,,134.0,True,True
Ba0.22Sr0.11Pr0.67Mn0.9Fe0.1O3,,74.0,True,True
Ba0.22Sr0.11Pr0.67Mn1O3,,216.0,True,True
Ba0.23Ca0.1La0.52Y0.15Mn1O3,,289.0,True,True
Ba0.23Ca0.1La0.57Y0.1Mn1O3,,300.0,True,False
Ba0.23Ca0.1La0.62Y0.05Mn1O3,,321.0,True,True
Ba0.23Ca0.1La0.67Mn1O3,,325.0,True,True
Ba0.23La0.67Mn1O3,,320.0,True,True
Ba0.23Nd0.77Mn1O3,,124.0,True,True
Ba0.23Sr0.07Nd0.7Mn1O3,,100.0,True,True
Ba0.24Ca0.06La0.7Mn1O3,320.0,320.0,True,True
