composition,Tc_sim
FeCoZr0.75Nb0.25Ge,381.32
FeCoZrGe0.25As0.75,686.92
FeCoZrGe0.5As0.5,543.78
FeCoZrGe0.75As0.25,401.83
FeCr2S4,172.0
FeCrAs,842.0
FeCrMoCuGaPCB,470.0
FeCu0.1C0.9,2.4
FeCu0.3C0.7,2.6
FeCu0.5C0.5,2.67
FeCu0.9C0.1,2.8
FeGe,279.0
FeMn2O4,373.0
FeMnAs,926.0
FeMnCuSi,249.462
FeMnP0.67In0.33,275.0
FeMnP0.67Si0.33,460.0
FeMnTaAl,631.0
FeNi,830.0
FeNi (L10),805.0
FeNi3,863.0
FeNiMnGa,321.8
FePS3,90.0
FePd,741.075
FePd (12.5% B),425.15
FePd (18.75% B),389.22
FePd (6.25% B),467.7
FePd2,600.0
FePd2 (2.08% B),484.4
FePd2 (4.16% B),884.61
FePd2 (8.32% B),568.0
FePd3,559.71
FePd3 (12.5% B),123.83
FePd3 (3.12% B),371.07
FePd3 (6.25% B),137.57
FePt,720.0
FePt2,827.0
FePt3,360.0
FeRh,350.0
FeTe2,423.0
FeWGa,541.29
Fe₂CoGa,1116.0
Fe₂CoGe,1011.0
Fe₂CoPt,1008.0
Fe₂CoRh,1554.0
Fe₂CoSi,1062.0
Ga0.25Mn0.75Sb,919.0
Ga0.5Mn0.5Sb,866.0
Ga0.75Fe0.25Sb,270.0
Ga0.75Mn0.25Sb,496.0
Ga0.875Mn0.125N,400.0
Ga0.875V0.125N,325.0
Ga0.88Cr0.06V0.06N,571.0
Ga0.8Mn0.2As,200.0
Ga0.90Cr0.05V0.05N,561.0
Ga0.90Cr0.10As,621.0
Ga0.90Mn0.10As,392.0
Ga0.90Ti0.10As,71.0
Ga0.90V0.10As,240.0
Ga0.91Mn0.09N,940.0
Ga0.92Cr0.04V0.04N,547.0
Ga0.9375Mn0.0625N,400.0
Ga0.9375V0.0625N,350.0
Ga0.947Mn0.053As,110.0
Ga0.95Cr0.05N,549.0
Ga0.95Fe0.05N,100.0
Ga0.95Mn0.05As,140.0
Ga0.96Cr0.04N,540.0
Ga0.9Mn0.1As,190.0
Ga0.9Mn0.1Sb,25.0
Ga30Fe2+O48,273.0
Ga30Fe3+O48,273.0
Ga31Fe2+O47,273.0
Ga31Fe3+O47,273.0
Ga31MoSb32,476.5
GaAs/AlGaAs:Mn,172.0
GaAs:Mn,110.0
GaC0.5Fe3,788.0
GaCrN,400.0
GaFeO3,282.0
GaMn,650.0
GaMnAs,110.0
GaMnN,300.0
GaMo4S8,26.0
GaN:Cr,350.0
GaN:Fe,250.0
GaN:Mn,300.0
GaN:Ni,45.0
GaP:Mn,300.0
GaV4S8,12.5
Gd,294.0
Gd (hcp),293.0
Gd(Ni0.84Fe0.16)2,309.0
Gd(Ni0.9Fe0.1)3,260.0
Gd0.1Er0.9Ga,20.6
Gd0.25Dy0.75Al2,89.0
Gd0.2Tb0.2Dy0.2Ho0.2Er0.2Ni,63.0
Gd0.33Dy0.33Ho0.33Al2,84.0
Gd0.5Dy0.5Al2,122.0
Gd0.5Sr0.5MnO3,110.0
Gd0.667Sc0.333)60A120Co20,66.0
Gd0.6Sc0.4)60A115(Co0.6Ni0.4)25,58.0
Gd0.6Tb0.4,215.0
Gd0.73Dy0.27,265.0
Gd0.75Dy0.25Al2,141.0
Gd0.8Er0.2Ga,168.0
Gd1.5In,160.0
Gd117Co56.4Sn114.3,70.0
Gd12Co7,163.0
Gd20Dy20Er20Ho20Tb20,186.0
Gd20Ho20Er20Al20Fe20,55.0
Gd20Tb20Dy20Al20Fe20,112.0
Gd23Fe73.64Co3.36,500.0
Gd2Al,44.0
Gd2Au2In,83.0
Gd2Co2Al,78.0
Gd2Co2Ga,76.0
Gd2Co2Ge,143.0
Gd2Co7B3,343.0
Gd2CoGa3,50.0
Gd2CoMnO6,112.0
Gd2Cu2Cd,120.0
Gd2Cu2In,94.0
Gd2CuMnO6,7.5
Gd2Fe15Si2,562.0
Gd2Fe17,493.0
Gd2NiMnO6,22.5
Gd2NiSi3,16.0
Gd2Rh3Ge,64.0
Gd2ZnMnO6,6.4
Gd33Co25Al54,47.5
Gd33Er22Al25Co20,52.0
Gd34Ni33Al33,38.0
Gd36Co20Al24Y20,53.0
Gd36Dy20Al24Co20,76.0
Gd36Y20Al24Co20,53.0
Gd36Y20Co20Al24,53.0
Gd3Al2,265.25
Gd3Co8Sn4,102.5
Gd3Ni2,147.0
Gd3Ni6Al2,104.5
Gd3Ni6Si2,40.0
Gd3NiSi2,215.0
Gd3OsO7,34.0
Gd3Pt23Si11,42.0
Gd3SiGe2,276.0
Gd3Y4Pd3,197.0
Gd40Dy16Al24Co20,79.0
Gd46Co19Al29B6,81.7
