#mammos csv v1
#,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
composition,Tc_sim,Tc_sim_nemad,Tc_sim_dftv2,Tc_sim_spin,Tc_sim_re_free,Tc_exp,Tc_exp_ds1ds2,Tc_exp_re_free,Tc_exp_dftv2,Tc_exp_literature,Tc_delta,source_sim_target,source_exp_target,contains_rare_earth,pair_exists,use_for_emb,delta_info
(Fe0.97Cu0.03)2P,,,,,,265.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Fe0.98Mo0.02)3B,,,,,,780.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Fe0.99Mo0.01)78Si9B13,,,,,,665.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Fe0.9Co0.1)0.75B0.2Si0.05)96Nb4,,,,,,610.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Fe0.9Co0.1)74.5Nb2Si17.5B5Cu1,,,,,,808.15,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Fe0.9Co0.1)83Si1B16,691.0,691.0,,,,,,,,,,Tc_sim available in: Nemad,Tc_exp not available in any source,False,False,False,exp-sim
(Fe0.9Nb0.1)76B24,,,,,,423.35,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Fe12Co)79Mo8Cu1B12,,,,,,375.15,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Fe12Co1)79Mo8Cu1B12,,,,,,375.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Fe1Co1)76Mo8Cu1B15,,,,,,600.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Fe1Co1)79Mo8Cu1B12,,,,,,808.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Fe1−yPdy)0.98Si1.02,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,False,exp-sim
(Fe3Ni)81Nb7B12,,,,,,773.15,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Fe53.95Co29.05)83Si1.3B10.7Nb3Cu1Al1,,,,,,708.15,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Fe53.95Co29.05)83Si1.3B11.7Nb3Cu1,,,,,,682.15,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Fe6Ni)81Nb7B12,,,,,,573.15,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Fe70Co30)90Zr10,,,,,,735.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
