composition,Tc_sim
FeNi3,869.0
FeNi4,823.0
FeNiPd2,504.0
FeOs(PbO3)2,280.0
FePS3,90.0
FePd,741.075
FePd2,600.0
FePd2Pt,463.0
FePd3,559.71
FePt,720.0
FePt2,827.0
FePt3,360.0
FeRe(PbO3)2,420.0
FeRh,360.0
FeTe2,423.0
GY4Fe5IO12,560.0
Ga(MoS2)4,26.0
Ga0.75Fe0.25Sb1,270.0
Ga0.75Fe1Co2Si0.25,1243.0
Ga0.95Fe0.05N1,100.0
Ga1Fe3C0.5,788.0
Ga27Fe18Co6Ni49,405.0
Ga28.125Fe71.875,866.5
Ga29Co50Ni21,400.0
Ga30Co47.5Ni22.5,380.0
Ga31Sb32Mo,476.5
GaFe3,920.0
GaFeCo2,1317.0
GaFeO3,282.0
GaFeRh2,395.0
GaFeW,541.29
Gd,294.0
Gd(Co2B)6,161.0
Gd(CoB)2,25.0
Gd(FeSi)2,8.6
Gd0.04Mn1Co0.96Ge1,300.5
Gd0.1Er0.9Ga1,20.6
Gd0.25Dy0.75Al2,89.0
Gd0.33Dy0.33Ho0.33Al2,84.0
Gd0.5Dy0.5Al2,122.0
Gd0.73Dy0.27,265.0
Gd0.75Dy0.25Al2,141.0
Gd0.8Er0.2Ga1,168.0
Gd1.5In1,160.0
Gd10Dy4Al6Co5,79.0
Gd10FeCo9,289.0
Gd11(Al2Co)3,96.0
Gd11(Al2Fe)3,158.0
Gd11(Al2Ni)3,70.0
Gd11(AlNi2)3,83.0
Gd117Co56.4Sn114.3,70.0
Gd11Al3ZnCo5,127.5
Gd11Al4Co4Ni,105.0
Gd11Al4Co5,110.0
Gd11Al4Fe5,230.0
Gd11Al4Ni5,80.0
Gd11Al5Co4,103.0
Gd11Al5Fe4,190.0
Gd11Cr8(Fe23B4)3,413.0
Gd11Fe2Co7,268.0
Gd12Al3Co5,125.0
Gd12Al5Co3,101.0
Gd12Co13,282.0
Gd12Co7,163.0
Gd13Al3Fe4,182.5
Gd13Mn5Ge2,229.0
Gd13Mn5Si2,234.0
Gd13Mn6Ge,212.0
Gd17Ni8,122.0
Gd1Cd0.8Ru0.2,73.0
Gd1Cd0.9Ru0.1,160.0
Gd1Co0.6Ni0.4,151.0
Gd1Fe0.32Ni1.68,309.0
Gd1Fe0.3Ni2.7,260.0
Gd23Fe73.64Co3.36,500.0
Gd24ZnCo25,263.0
Gd2Al,44.0
Gd2AlCo2,78.0
Gd2CdCu2,120.0
Gd2Co2Ge,143.0
Gd2Co7B3,343.0
Gd2Fe15Si2,562.0
Gd2Fe17,493.0
Gd2Ga3Co,50.0
Gd2GaCo2,76.0
Gd2GeRh3,64.0
Gd2InAu2,83.0
Gd2InCu2,94.0
Gd2MnCoO6,112.0
Gd2MnCuO6,7.5
Gd2MnNiO6,22.5
Gd2MnZnO6,6.4
Gd2Si3Ni,16.0
Gd3(AlNi3)2,104.5
Gd3(Co2Sn)4,102.5
Gd3(SiNi3)2,40.0
Gd30Al7Co13,79.0
Gd33Al54Co25,47.5
Gd33Er22(Al5Co4)5,52.0
Gd34(AlNi)33,38.0
Gd3Al2,265.25
Gd3AlCo,109.0
Gd3AlFe,202.0
Gd3Cr8Fe77B12,378.0
Gd3FeCo,210.0
Gd3Ni2,147.0
Gd3OsO7,34.0
Gd3Si11Pt23,42.0
Gd3Si2Ni,215.0
Gd3SiGe2,276.0
Gd3Y2,95.0
Gd3Y4Pd3,197.0
Gd46Al29Co19B6,81.7
Gd4Bi3,335.0
Gd4Co3,220.0
Gd4Sb3,260.0
Gd5(SiGe)2,276.0
Gd5(SiGe)4,295.0
Gd51Zr4Nb(Al6Co5)4,91.0
Gd52.5Al31Co16.5,78.75
Gd52.5Zr1Al28Co18.5,93.0
Gd53Al28Co19,62.5
Gd53Er22(Al5Co4)5,52.0
Gd53Zr3(Al6Co5)4,93.0
Gd55Al18Zn2Ni25,84.0
Gd55Al23(Co10Si)2,105.0
Gd55Al24Fe3Co17Si,117.0
Gd55Al24Fe5Co15Si,126.0
Gd55Al27(Co5Si)3,101.0
Gd55Al27.5Co17.5,95.0
Gd55Mn3(Al10Ni11)2,90.0
Gd56Zr2(Al9Ni5)3,70.0
Gd59.4Al19.8Fe1Co19.8,113.0
Gd5Al3Co2,86.0
Gd5BiIr2,119.0
Gd5Cr4Fe35B6,405.0
Gd5Cr8(Fe25B4)3,400.0
Gd5Fe0.06Si2Ge1.94,310.0
Gd5Fe0.1Si2Ge1.9,305.0
Gd5In0.05Si1.925Ge2.025,278.0
Gd5Ni0.71Bi2.29,162.0
Gd5Ni0.96Sb2.04,115.0
Gd5Sb3,226.0
Gd5Si0.15Ge3.85,40.0
Gd5Si1.3Ge2.7,180.0
Gd5Si1.72Ge2.28,242.0
Gd5Si4,336.0
Gd5Sn4,82.0
Gd5Y2Pd3,263.0
Gd6AlCo3,143.0
Gd6AlFe2Co,225.0
Gd6Co1.67Si3,294.0
Gd6Co2Si3,295.0
Gd6Co4.85,219.0
Gd6Mn23,478.5
Gd6YPd3,299.0
Gd71Co29,166.0
Gd7Dy50Al23Co20,26.0
Gd7Fe3,395.0
Gd7Pd3,334.0
Gd80Al8.7Fe11.3,237.5
Gd90Al4.3Fe5.7,250.0
Gd95Al2.2Fe2.8,232.0
Gd9Dy5Al6Co5,76.0
Gd9FeCo10,8.0
Gd9Y5Al6Co5,53.0
GdAl2,168.0
GdAlCo,100.0
GdAlCu,81.0
GdAlFe,265.0
GdAlNi,48.5
GdAlNi4,28.0
GdAlPd,46.0
GdBr2,310.0
GdCd,262.0
GdCdPd,62.0
GdCo,267.0
GdCo2,403.0
GdCo2B2C,17.2
GdCo3B2,54.0
GdCo9Si4,47.0
GdCr8Fe79B12,355.0
GdCrO4,23.15
GdCu,37.0
GdCu6,16.0
GdDyErAlCo,43.0
GdFe2,790.0
GdFe3,729.0
GdFeSi,135.0
GdGa,183.0
GdGa6,406.0
GdGaRh,58.0
GdHoErAlCo,39.0
GdHoErAlFe,55.0
GdInNi,93.5
GdInPd,96.0
GdInPt,89.0
GdMgAg,39.3
GdMgAl,59.0
GdMgPd,95.7
GdMgPt,97.6
GdMn2,108.0
GdN,59.0
GdNi,69.5
GdNi2,70.0
GdNi3,116.0
GdNi5,32.0
GdSiNi4,25.0
GdSiPd2,17.0
GdSiRh,100.0
GdTiCo11,1080.0
GdTiGe,374.0
GdTiO3,32.0
GdTiSi,294.0
GdZn,269.0
GdZr5Cr6(Fe39B5)2,340.0
GeMo,500.0
GrGeTe3,30.0
Hf0.75Mn0.25O2,682.0
Hf2Co7,450.0
HfCo7,600.0
HfFe2,615.0
HfMn2,560.0
Ho,19.5
Ho0.2Er0.8Ni1,6.0
Ho0.6Er0.4B4Rh4,1.9
Ho12Co7,30.0
Ho2Al,40.0
Ho2Fe17,330.0
Ho2Ga3Co,10.0
Ho2GaNi2,12.5
Ho2In,85.0
Ho2InAu2,21.0
Ho2InCu2,30.0
Ho2Mn2Fe15,302.0
Ho2MnCoO6,78.0
Ho2MnCrO6,6.1
Ho2MnZnO6,6.8
Ho3Al0.75Co3.25,65.0
Ho3Al2,40.0
