composition,Tc_sim
Ho4CdCo,22.0
Ho4MgPt,28.0
Ho57Al25Cu18,22.2
Ho5Pd2,28.0
Ho5Si4,76.0
Ho6FeBi2,54.0
Ho6GaCo2,26.0
Ho6In1.8Ni2.2,18.0
Ho6MnBi2,204.0
HoAl,20.0
HoAl2,30.0
HoAl2Ni,7.8
HoAlAg,18.0
HoAlCo,10.0
HoB2,15.0
HoCo2,78.0
HoCo3,418.0
HoCoC2,11.0
HoCoNi,42.0
HoCu2,10.5
HoCuSi,6.9
HoFe3,565.0
HoFeSi,29.0
HoGa,69.0
HoGaAg,7.2
HoInNi,20.0
HoInPd,23.0
HoInPt,23.5
HoN,18.0
HoNi2,13.0
HoNi2B2C,5.0
HoNi3,66.0
HoNi5,5.0
HoPd,10.0
HoSiPd2,3.5
HoZn,72.0
K0.05Ca0.45La0.5Mn1O3,296.4
K0.05La0.95Mn1O3,286.0
K0.05Na0.15La0.8Mn1O3,312.6
K0.05Sr0.2La0.75Mn0.95Ni0.05O3,305.0
K0.05Sr0.45Nd0.5Mn1O3,313.9
K0.05Sr0.45Pr0.5Mn1O3,292.0
K0.15La0.85Mn1O3,288.75
K0.196La0.796Mn0.993O3,344.0
K0.1Ba0.2La0.7Mn1O3,311.0
K0.1La0.8Mn1Ag0.1O3,310.0
K0.1La0.8Mn1Pb0.1O3,307.0
K0.1La0.9Mn1O3,287.4
K0.2La0.75Mn1.05O3,332.0
K0.2La0.78Mn1Cd0.02O3,326.0
K0.2La0.8Mn1O3,308.0
K0.2Pr0.8Mn1O3,155.815
K0.2Sr0.2Pr0.2Mn1O3,269.0
K0.85La2.15Mn2O7,247.0
La(CoAs)2,123.5
La(MnGe)2,340.0
La(MnSi)2,307.5
La0.05Fe1Bi0.95O3,1020.0
La0.1Mn0.1Fe0.9Bi0.9O3,890.0
La0.3Pr0.7Fe11.18Si1.82,197.0
La0.57Nd0.1Mn1Pb0.33O3,350.0
La0.57Nd0.1Ti0.1Mn0.9Pb0.33O3,321.24
La0.5Mn1Pb0.5O3,355.0
La0.67Mn0.7Co0.3Pb0.33O3,260.0
La0.67Mn0.85Co0.15Pb0.33O3,297.0
La0.67Mn0.92Co0.08Pb0.33O3,316.65
La0.67Mn1Pb0.33O3,360.0
La0.6Mn1Pb0.4O3,350.0
La0.72Dy0.08Mn1Pb0.2O3,248.0
La0.775Gd0.225Mn2Si2,26.0
La0.7Mn0.7Fe0.3Te0.3O3,110.0
La0.7Mn0.9Fe0.1Te0.3O3,180.0
La0.7Mn1.1Ag0.2O3,271.0
La0.7Mn1Ag0.3O3,270.0
La0.7Mn1Pb0.3O3,352.0
La0.833Mn1Ag0.167O3,278.0
La0.85Mn1Ag0.15O3,274.5
La0.8Mn1Ag0.1O2.92,287.0
La0.8Mn1Ag0.2O3,296.0
La0.8Mn1Cd0.2O3,155.0
La0.8Mn1Cd0.33O3,155.0
La0.8Mn1O3,283.5
La0.8Mn1Pb0.2O3,242.5
La0.8Sm0.2Mn2Si2,7.5
La0.95Gd0.05Fe11.4Si1.6,215.0
La0.9Mn1O3,254.0
La0.9Mn1Pb0.1O3,162.0
La0.9Mn1Te0.1O3,239.0
La1.07Fe11Si2,238.0
La1.6Mn1Ni1Bi0.4O6,255.0
La1.7Fe11.6Si1.4,173.5
La1.7Fe11Co0.8Si1.2,810.25
La1.7Mn1Co1Bi0.3O6,205.0
La1Al2Fe11C0.5,291.0
La1Fe10.488Co0.912Si1.6,317.0
La1Fe10.4Si2.6,243.0
La1Fe10.716Co0.684Si1.6,280.0
La1Fe10.7Co0.8Si1.4,285.0
La1Fe10.7Co0.8Si1.5,285.0
